Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,iT_Sepi_28B01,iT_Shom_28A10,Scap_29E04_ad,Scap_2C01_ad,Scap_2C12_adm,Scap_58D05_ad,Scap_6C02_adm,Scap_6C05_adm,Scap_9C11_adm,Scap_DM01A05_,Scap_DM12A11_,Scap_DM16A07_,Scap_DM18D08_,Scap_DM21F09_,Scap_DM21G11,Scap_DM21G12_,Scap_DM23E01_,Scap_DM23E05_,Scap_DM28A07_,Scap_DM34E02_,Scap_DM3F02_a,Scap_LM7D7_a,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
group_2301,,excisionase,4,4,1,1,3044,NA,NA,NA,315,321,316.5,,iT_Shom_28A10_02042,Scap_29E04_ad_02025,,,,,,,Scap_DM01A05__02290,Scap_DM12A11__02089,,,,,,,,,,,,1229783.C273_09302,2.57e-62,191,"COG0210@1|root,3059G@2|Bacteria,1TXX4@1239|Firmicutes,4I6ZQ@91061|Bacilli,4GZMW@90964|Staphylococcaceae",91061|Bacilli,L,Helix-turn-helix domain,-,-,-,-,-,-,-,-,-,-,-,-,HTH_17
group_2300,,hypothetical protein,4,4,1,1,3043,NA,NA,NA,600,609,606.75,,,Scap_29E04_ad_02009,,,Scap_58D05_ad_01746,,,,Scap_DM01A05__01951,Scap_DM12A11__02106,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
group_2291,,transcriptional activator RinB;hypothetical protein,4,4,1,1,3033,NA,NA,NA,159,369,216,,,,,Scap_2C12_adm_02275,,,,,Scap_DM01A05__00033,,Scap_DM16A07__00694,,Scap_DM21F09__02180,,,,,,,,,525378.HMPREF0793_1865,1.01e-17,78.2,"2DIUD@1|root,30450@2|Bacteria,1TW1G@1239|Firmicutes,4I4QV@91061|Bacilli,4H05E@90964|Staphylococcaceae",91061|Bacilli,S,Transcriptional activator RinB,-,-,-,-,-,-,-,-,-,-,-,-,RinB
group_2279,,tail assembly chaperone,4,4,1,1,3020,NA,NA,NA,360,360,360,,,,,,,,,Scap_9C11_adm_02310,,,Scap_DM16A07__00710,,Scap_DM21F09__02473,,,,,,,,Scap_LM7D7_a_01753,1034809.SLUG_08740,8.17e-45,148,"2DSY1@1|root,33HWD@2|Bacteria,1VIFH@1239|Firmicutes,4IGDY@91061|Bacilli,4H00B@90964|Staphylococcaceae",91061|Bacilli,S,"Phage tail assembly chaperone protein, TAC",-,-,-,-,-,-,-,-,-,-,-,-,Phage_TAC_12
group_2278,,recombinase family protein,4,4,1,1,3019,NA,NA,NA,549,549,549,,iT_Shom_28A10_02423,,,,,,Scap_6C05_adm_02518,,Scap_DM01A05__02456,,,,,,,,,Scap_DM28A07__02281,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
group_2150,,single-stranded DNA-binding protein,4,4,1,1,2863,NA,NA,NA,429,438,433.5,,,,,,,,Scap_6C05_adm_01910,,,,Scap_DM16A07__00673,,Scap_DM21F09__01258,,,Scap_DM23E01__00685,,,,,,1147044.H9A0L6_9CAUD,1.06e-68,211,"4QAU9@10239|Viruses,4QVR2@35237|dsDNA viruses  no RNA stage,4QQV4@28883|Caudovirales,4QKUJ@10699|Siphoviridae",10699|Siphoviridae,S,Single-strand binding protein family,-,-,-,-,-,-,-,-,-,-,-,-,SSB
zwf_2,zwf_2,glucose-6-phosphate dehydrogenase,4,4,1,1,2858,NA,NA,NA,1461,1461,1461,iT_Sepi_28B01_02356,iT_Shom_28A10_02453,,,,,,,,Scap_DM01A05__02443,,,,,,,,,,,,Scap_LM7D7_a_02462,1194526.A284_12332,0,986,"COG0364@1|root,COG0364@2|Bacteria,1TPYF@1239|Firmicutes,4HA73@91061|Bacilli,4GYIC@90964|Staphylococcaceae",91061|Bacilli,G,Catalyzes the oxidation of glucose 6-phosphate to 6- phosphogluconolactone,zwf,"GO:0000166,GO:0003674,GO:0003824,GO:0004345,GO:0005488,GO:0005975,GO:0005996,GO:0006006,GO:0006081,GO:0006098,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006739,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009117,GO:0009987,GO:0016491,GO:0016614,GO:0016616,GO:0019318,GO:0019362,GO:0019637,GO:0019682,GO:0019693,GO:0034641,GO:0036094,GO:0044237,GO:0044238,GO:0044281,GO:0046483,GO:0046496,GO:0048037,GO:0050661,GO:0050662,GO:0051156,GO:0051186,GO:0055086,GO:0055114,GO:0071704,GO:0072524,GO:0097159,GO:1901135,GO:1901265,GO:1901360,GO:1901363,GO:1901564","1.1.1.363,1.1.1.49",ko:K00036,"ko00030,ko00480,ko01100,ko01110,ko01120,ko01130,ko01200,ko05230,map00030,map00480,map01100,map01110,map01120,map01130,map01200,map05230","M00004,M00006,M00008","R00835,R02736,R10907","RC00001,RC00066","ko00000,ko00001,ko00002,ko01000,ko04147",-,-,-,"G6PD_C,G6PD_N"
yhdJ,yhdJ,DNA adenine methyltransferase YhdJ,4,4,1,1,2844,NA,NA,NA,702,702,702,,,,,,,,Scap_6C05_adm_01920,,,,Scap_DM16A07__00685,,Scap_DM21F09__01246,,,Scap_DM23E01__00697,,,,,,1434319.W5RV19_9CAUD,4.39e-116,337,"4QB5I@10239|Viruses,4QUT2@35237|dsDNA viruses  no RNA stage,4QPQ9@28883|Caudovirales,4QKRP@10699|Siphoviridae",10699|Siphoviridae,S,helicase activity,-,-,-,-,-,-,-,-,-,-,-,-,N6_N4_Mtase
group_2039,,hypothetical protein,4,4,1,1,2715,NA,NA,NA,645,663,654,,,,,,,,Scap_6C05_adm_01909,,,,Scap_DM16A07__00672,,Scap_DM21F09__01259,,,Scap_DM23E01__00684,,,,,,575608.B7T0A4_9CAUD,1.55e-80,246,"4QDF9@10239|Viruses,4QWBK@35237|dsDNA viruses  no RNA stage,4QQ9X@28883|Caudovirales,4QM46@10699|Siphoviridae",10699|Siphoviridae,S,Protein of unknown function (DUF1071),-,-,-,-,-,-,-,-,-,-,-,-,DUF1071
group_2028,,hypothetical protein,4,4,1,1,2704,NA,NA,NA,642,3942,2626.2,,,,,Scap_2C12_adm_01701,,,,,,,,Scap_DM18D08__02267,,Scap_DM21G11_00246,,,,,Scap_DM34E02__02187,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gndA_2,gndA_2,NADP-dependent phosphogluconate dehydrogenase,4,4,1,1,2679,NA,NA,NA,1407,1407,1407,iT_Sepi_28B01_02357,iT_Shom_28A10_02452,,,,,,,,Scap_DM01A05__02442,,,,,,,,,,,,Scap_LM7D7_a_02461,1194526.A284_12327,0,936,"COG0362@1|root,COG0362@2|Bacteria,1TP4I@1239|Firmicutes,4H9NC@91061|Bacilli,4GXWE@90964|Staphylococcaceae",91061|Bacilli,G,"Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH",gnd,"GO:0003674,GO:0003824,GO:0004616,GO:0005975,GO:0006081,GO:0006082,GO:0006098,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006739,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009117,GO:0009987,GO:0016491,GO:0016614,GO:0016616,GO:0019362,GO:0019520,GO:0019521,GO:0019637,GO:0019682,GO:0019693,GO:0019752,GO:0032787,GO:0034641,GO:0043436,GO:0044237,GO:0044238,GO:0044262,GO:0044281,GO:0046483,GO:0046496,GO:0051156,GO:0051186,GO:0055086,GO:0055114,GO:0071704,GO:0072524,GO:1901135,GO:1901360,GO:1901564","1.1.1.343,1.1.1.44",ko:K00033,"ko00030,ko00480,ko01100,ko01110,ko01120,ko01130,ko01200,map00030,map00480,map01100,map01110,map01120,map01130,map01200","M00004,M00006","R01528,R10221","RC00001,RC00539","ko00000,ko00001,ko00002,ko01000",-,-,-,"6PGD,NAD_binding_2"
group_1983,,putative HNHc nuclease,4,4,1,1,2649,NA,NA,NA,666,675,670.5,,,,,,,,Scap_6C05_adm_01912,,,,Scap_DM16A07__00675,,Scap_DM21F09__01256,,,Scap_DM23E01__00687,,,,,,1280.SAXN108_0328,7.29e-114,332,"2CV27@1|root,32SWP@2|Bacteria,1VBY4@1239|Firmicutes,4HKQV@91061|Bacilli,4GY13@90964|Staphylococcaceae",91061|Bacilli,S,Putative HNHc nuclease,-,-,-,-,-,-,-,-,-,-,-,-,HNHc_6
group_1982,,hypothetical protein,4,4,1,1,2648,NA,NA,NA,225,225,225,,,,,,,,Scap_6C05_adm_01919,,,,Scap_DM16A07__00684,,Scap_DM21F09__01247,,,Scap_DM23E01__00696,,,,,,279808.SH2376,2.31e-35,121,"2A1J2@1|root,30PSX@2|Bacteria,1TY0V@1239|Firmicutes,4I73U@91061|Bacilli,4GZXC@90964|Staphylococcaceae",91061|Bacilli,S,Protein of unknown function (DUF3269),-,-,-,-,-,-,-,-,-,-,-,-,DUF3269
lexA_1~~~lexA_2,lexA_1;lexA_2,LexA repressor,4,4,1,1,2570,NA,NA,NA,627,627,627,,,,,,,,Scap_6C05_adm_01897,,,,Scap_DM16A07__00662,,Scap_DM21F09__01269,,,Scap_DM23E01__00674,,,,,,320840.Q4ZCB4_9CAUD,1.46e-122,352,"4QAQV@10239|Viruses,4QUPK@35237|dsDNA viruses  no RNA stage,4QPCB@28883|Caudovirales,4QKM5@10699|Siphoviridae",10699|Siphoviridae,S,sequence-specific DNA binding,-,"GO:0001047,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005515,GO:0005575,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0010944,GO:0016032,GO:0016070,GO:0018130,GO:0019012,GO:0019042,GO:0019044,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0042802,GO:0043170,GO:0043565,GO:0043900,GO:0043902,GO:0043903,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044403,GO:0044419,GO:0045892,GO:0045934,GO:0046483,GO:0046782,GO:0048518,GO:0048519,GO:0048523,GO:0048524,GO:0050434,GO:0050789,GO:0050792,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051704,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0098689,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902679,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141",-,-,-,-,-,-,-,-,-,-,"HTH_3,Peptidase_S24"
group_1927,,hypothetical protein,4,4,1,1,2569,NA,NA,NA,618,624,622.5,,,,,,,,Scap_6C05_adm_01895,,,,Scap_DM16A07__00660,,Scap_DM21F09__01271,,,Scap_DM23E01__00672,,,,,,1034809.SLUG_08270,1.79e-48,163,"2BEZ2@1|root,328QR@2|Bacteria,1TW3R@1239|Firmicutes,4I4TS@91061|Bacilli,4H0AH@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
hxlB_2~~~hxlB_3,hxlB_2;hxlB_3,6-phospho-3-hexuloisomerase,4,4,1,1,2542,NA,NA,NA,552,552,552,iT_Sepi_28B01_02360,iT_Shom_28A10_02449,,,,,,,,Scap_DM01A05__02459,,,,,,,,,,,,Scap_LM7D7_a_02458,904314.SEVCU012_1731,4.28e-123,351,"COG0794@1|root,COG0794@2|Bacteria,1V3UJ@1239|Firmicutes,4HH5G@91061|Bacilli,4H1P0@90964|Staphylococcaceae",91061|Bacilli,G,SIS domain,hxlB,-,5.3.1.27,ko:K08094,"ko00030,ko00680,ko01100,ko01120,ko01200,ko01230,map00030,map00680,map01100,map01120,map01200,map01230","M00345,M00580","R05339,R09780",RC00377,"ko00000,ko00001,ko00002,ko01000",-,-,-,SIS
group_1903,,type 1 glutamine amidotransferase,4,4,1,1,2541,NA,NA,NA,519,519,519,,,,,Scap_2C12_adm_02411,,,,,,,,,,,Scap_DM21G12__02352,,,Scap_DM28A07__02288,,,Scap_LM7D7_a_02425,525378.HMPREF0793_1646,3.58e-119,340,"COG0693@1|root,COG0693@2|Bacteria,1V3I7@1239|Firmicutes,4HH5I@91061|Bacilli,4GXX4@90964|Staphylococcaceae",91061|Bacilli,S,intracellular protease,-,-,3.5.1.124,ko:K05520,-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,DJ-1_PfpI
group_1877,,hypothetical protein,4,4,1,1,2513,NA,NA,NA,354,354,354,,,,,,,,Scap_6C05_adm_01916,,,,Scap_DM16A07__00679,,Scap_DM21F09__01252,,,Scap_DM23E01__00691,,,,,,1234593.ANBY01000020_gene1355,1.96e-58,182,"29ICU@1|root,305A0@2|Bacteria,1TXY0@1239|Firmicutes,4I70U@91061|Bacilli,4GZQV@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
group_1873,,replication initiator protein A,4,4,1,1,2505,NA,NA,NA,201,246,221.25,,iT_Shom_28A10_02412,,,,,,,,,,,Scap_DM18D08__02407,,Scap_DM21G11_00145,,,,,Scap_DM34E02__02397,,,1159488.SEQMU2_14665,8.24e-23,95.9,"2DBC6@1|root,2Z8BZ@2|Bacteria,1TQXM@1239|Firmicutes,4IQUN@91061|Bacilli,4GY94@90964|Staphylococcaceae",91061|Bacilli,S,Replication initiator protein A (RepA) N-terminus,-,-,-,-,-,-,-,-,-,-,-,-,RepA_N
group_1860,,phage resistance protein,4,4,1,1,2491,NA,NA,NA,1614,1614,1614,,,,Scap_2C01_ad_02328,,,,Scap_6C05_adm_01507,,Scap_DM01A05__01662,,,,,,,Scap_DM23E01__01718,,,,,,435838.HMPREF0786_01765,0,967,"2CCQ7@1|root,32RW7@2|Bacteria,1VDK9@1239|Firmicutes,4HMAN@91061|Bacilli,4GYQ1@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
group_1745,,PBSX family phage terminase large subunit,4,4,1,1,2341,NA,NA,NA,312,1284,1041,,,,,,,,Scap_6C05_adm_01929,,,,Scap_DM16A07__00697,,Scap_DM21F09__02461,,,Scap_DM23E01__00709,,,,,,1034809.SLUG_08620,2.96e-284,779,"COG1783@1|root,COG1783@2|Bacteria,1TRQP@1239|Firmicutes,4HDMY@91061|Bacilli,4GZBA@90964|Staphylococcaceae",91061|Bacilli,S,Terminase RNAseH like domain,yqaT,"GO:0006323,GO:0006996,GO:0008150,GO:0009987,GO:0016043,GO:0051276,GO:0071103,GO:0071840",-,ko:K06909,-,-,-,-,ko00000,-,-,-,"Terminase_3,Terminase_3C"
group_1703,,hypothetical protein,4,4,1,1,2287,NA,NA,NA,252,252,252,,,,,,,,Scap_6C05_adm_01908,,,,Scap_DM16A07__00671,,Scap_DM21F09__01260,,,Scap_DM23E01__00683,,,,,,279808.SH2385,6.38e-26,98.2,"29IRV@1|root,305P7@2|Bacteria,1TYGF@1239|Firmicutes,4I7KN@91061|Bacilli,4H0Z1@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
group_1622,,hypothetical protein,4,4,1,1,2187,NA,NA,NA,687,1248,827.25,,,,,,,,Scap_6C05_adm_01917,,,,Scap_DM16A07__00682,,Scap_DM21F09__01249,,,Scap_DM23E01__00694,,,,,,1197952.I6TJV1_9CAUD,2.58e-293,801,"4QAWG@10239|Viruses,4QV6X@35237|dsDNA viruses  no RNA stage,4QPII@28883|Caudovirales,4QKWY@10699|Siphoviridae",10699|Siphoviridae,S,DNA helicase activity,-,"GO:0000166,GO:0003674,GO:0003678,GO:0003824,GO:0004386,GO:0005488,GO:0005524,GO:0006139,GO:0006259,GO:0006260,GO:0006725,GO:0006807,GO:0006996,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0030554,GO:0032392,GO:0032508,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0046483,GO:0051276,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:0097367,GO:0140097,GO:1901265,GO:1901360,GO:1901363,GO:1901576",-,-,-,-,-,-,-,-,-,-,DnaB_C
group_1587,,CsbD family protein,4,4,1,1,2145,NA,NA,NA,183,183,183,,,,,,,,,,,,Scap_DM16A07__02452,,,,Scap_DM21G12__02326,,Scap_DM23E05__02386,Scap_DM28A07__02284,,,,525378.HMPREF0793_1665,4.14e-25,94.4,"COG3237@1|root,COG3237@2|Bacteria,1U4PX@1239|Firmicutes,4IEFQ@91061|Bacilli,4H0XK@90964|Staphylococcaceae",91061|Bacilli,S,CsbD-like,-,-,-,-,-,-,-,-,-,-,-,-,CsbD
group_1525,,hypothetical protein,4,4,1,1,2074,NA,NA,NA,528,528,528,,,,Scap_2C01_ad_02317,,,,Scap_6C05_adm_01497,,,,,,,,Scap_DM21G12__02201,Scap_DM23E01__01708,,,,,,435838.HMPREF0786_01775,2.94e-124,353,"COG2329@1|root,COG2329@2|Bacteria,1V7WZ@1239|Firmicutes,4HJI7@91061|Bacilli,4H0S5@90964|Staphylococcaceae",91061|Bacilli,S,Domain of unknown function (DUF4865),-,-,-,-,-,-,-,-,-,-,-,-,DUF4865
group_1524,,hypothetical protein,4,4,1,1,2073,NA,NA,NA,528,528,528,,,,Scap_2C01_ad_02315,,,,Scap_6C05_adm_01495,,,,,,,,Scap_DM21G12__02199,Scap_DM23E01__01706,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
group_1506,,pathogenicity island protein,4,4,1,1,2049,NA,NA,NA,282,306,294,,,,Scap_2C01_ad_02326,,,,Scap_6C05_adm_01505,,Scap_DM01A05__01660,,,,,,,Scap_DM23E01__01716,,,,,,435838.HMPREF0786_01767,4.97e-61,187,"29IDJ@1|root,305AR@2|Bacteria,1TXYT@1239|Firmicutes,4I71S@91061|Bacilli,4GZTJ@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
group_1409,,glucose-6-phosphate isomerase,4,4,1,1,1937,NA,NA,NA,357,1332,1088.25,iT_Sepi_28B01_02358,iT_Shom_28A10_02451,,,,,,,,Scap_DM01A05__02441,,,,,,,,,,,,Scap_LM7D7_a_02460,904314.SEVCU012_1733,0,884,"COG0166@1|root,COG0166@2|Bacteria,1TP29@1239|Firmicutes,4H9VI@91061|Bacilli,4GXNV@90964|Staphylococcaceae",91061|Bacilli,G,Belongs to the GPI family,pgi,"GO:0003674,GO:0003824,GO:0004347,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005975,GO:0005996,GO:0006006,GO:0006082,GO:0006090,GO:0006091,GO:0006094,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016051,GO:0016052,GO:0016053,GO:0016310,GO:0016853,GO:0016860,GO:0016861,GO:0017144,GO:0018130,GO:0019318,GO:0019319,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042866,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046031,GO:0046034,GO:0046364,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046939,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576",5.3.1.9,ko:K01810,"ko00010,ko00030,ko00500,ko00520,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00030,map00500,map00520,map01100,map01110,map01120,map01130,map01200","M00001,M00004,M00114","R02739,R02740,R03321","RC00376,RC00563","ko00000,ko00001,ko00002,ko01000,ko04147",-,-,-,PGI
group_1371,,terminase small subunit,4,4,1,1,1890,NA,NA,NA,459,459,459,,,,,,,,Scap_6C05_adm_01928,,,,11_refound_20,,Scap_DM21F09__01235,,,Scap_DM23E01__00708,,,,,,320834.Q4ZDW1_9CAUD,2.67e-58,186,"4QQ2F@28883|Caudovirales,4QKMH@10699|Siphoviridae",10699|Siphoviridae,S,Terminase small subunit,-,"GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0006323,GO:0006996,GO:0008150,GO:0009987,GO:0016043,GO:0051276,GO:0071103,GO:0071840,GO:0097159,GO:1901363",-,-,-,-,-,-,-,-,-,-,Terminase_2
group_1364,,hypothetical protein,4,4,1,1,1883,NA,NA,NA,111,111,111,,,,,Scap_2C12_adm_02419,,,,Scap_9C11_adm_02443,Scap_DM01A05__02483,,,,,,,,,,,,Scap_LM7D7_a_02436,525378.HMPREF0793_1643,3.71e-15,67.8,"29IUP@1|root,305S0@2|Bacteria,1TYJV@1239|Firmicutes,4I7QB@91061|Bacilli,4H14J@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
group_1328,,hypothetical protein,4,4,1,1,1846,NA,NA,NA,138,138,138,,,,,,,,Scap_6C05_adm_02436,,,,Scap_DM16A07__02445,,,,,Scap_DM23E01__02414,Scap_DM23E05__02351,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
group_1311,,IS1182 family transposase,4,4,1,1,1828,NA,NA,NA,150,150,150,,,,,,,,Scap_6C05_adm_02455,,,,Scap_DM16A07__02468,,,,,Scap_DM23E01__02395,Scap_DM23E05__02370,,,,,1163409.UUA_18584,5.03e-18,77.8,"COG3666@1|root,COG3666@2|Bacteria",2|Bacteria,-,-,-,-,-,ko:K07487,-,-,-,-,ko00000,-,-,-,-
group_1304,,IS1182 family transposase,4,4,1,1,1820,NA,NA,NA,159,159,159,,,,,,,,Scap_6C05_adm_02456,,,,Scap_DM16A07__02469,,,,,Scap_DM23E01__02394,Scap_DM23E05__02371,,,,,279808.SH1081,7.29e-26,97.8,"COG3666@1|root,COG3666@2|Bacteria,1TQQ9@1239|Firmicutes,4H9KK@91061|Bacilli,4GY76@90964|Staphylococcaceae",91061|Bacilli,L,COG3666 Transposase and inactivated derivatives,-,-,-,ko:K07487,-,-,-,-,ko00000,-,-,-,-
group_1249,,replication initiation factor domain-containing protein,4,4,1,1,1759,NA,NA,NA,192,192,192,,,Scap_29E04_ad_02386,Scap_2C01_ad_02102,,,Scap_6C02_adm_02376,,,,,,,,,,,,,,Scap_DM3F02_a_02368,,596319.STAWA0001_0336,6.67e-12,63.2,"COG2946@1|root,COG2946@2|Bacteria,1VMP1@1239|Firmicutes,4HSQH@91061|Bacilli,4GYRI@90964|Staphylococcaceae",91061|Bacilli,L,Replication initiation factor,-,-,-,-,-,-,-,-,-,-,-,-,-
group_1235,,hypothetical protein,4,4,1,1,1745,NA,NA,NA,198,198,198,,,Scap_29E04_ad_02389,Scap_2C01_ad_02099,,,Scap_6C02_adm_02384,,,,,,,,,,,,,,Scap_DM3F02_a_02365,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
group_1231,,plasmid replication-associated protein,4,4,1,1,1741,NA,NA,NA,201,201,201,,iT_Shom_28A10_02414,,,,,,,,,,,Scap_DM18D08__02316,,Scap_DM21G11_00147,,,,,Scap_DM34E02__02395,,,1229783.C273_11141,3.24e-36,122,"29IBV@1|root,30591@2|Bacteria,1TXWQ@1239|Firmicutes,4I6ZA@91061|Bacilli,4GZKF@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
group_1185,,helix-turn-helix domain-containing protein,4,4,1,1,1687,NA,NA,NA,228,228,228,,,,,,,,Scap_6C05_adm_01913,,,,Scap_DM16A07__00676,,Scap_DM21F09__01255,,,Scap_DM23E01__00688,,,,,,525378.HMPREF0793_1844,5.33e-28,102,"2DJ0N@1|root,304GC@2|Bacteria,1TWPJ@1239|Firmicutes,4I5HE@91061|Bacilli,4H0ZK@90964|Staphylococcaceae",91061|Bacilli,K,Helix-turn-helix XRE-family like proteins,-,-,-,-,-,-,-,-,-,-,-,-,HTH_3
